Date,Strategy
2016-10-14,1.1486979304157747
2016-10-17,1.1489827382831845
2016-10-18,1.156428826004685
2016-10-19,1.1589031909000744
2016-10-20,1.1579920233125403
2016-10-21,1.1586780425546097
2016-10-24,1.1609401745291374
2016-10-25,1.1590604820589459
2016-10-26,1.1524767316492601
2016-10-27,1.145927659242052
2016-10-28,1.1429778148327523
2016-10-31,1.1450610545163964
2016-11-01,1.1393802919771123
2016-11-02,1.1349740935806
2016-11-03,1.1300438009134604
2016-11-04,1.1302231816695534
2016-11-07,1.143516412628997
2016-11-08,1.1450847611780324
2016-11-09,1.136801401044132
2016-11-10,1.1312891126980806
2016-11-11,1.1287653944876541
2016-11-14,1.1249983706266784
2016-11-15,1.1327080098881988
2016-11-16,1.1329288807653335
2016-11-17,1.1322959593197264
2016-11-18,1.127748458485207
2016-11-21,1.1337328151890436
2016-11-22,1.137993314585687
2016-11-23,1.1349446830585777
2016-11-25,1.1374771245287936
2016-11-28,1.1371861525233622
2016-11-29,1.140047603369227
2016-11-30,1.1336096793485089
2016-12-01,1.1245388972222226
2016-12-02,1.1283928794554365
2016-12-05,1.140794444082823
2016-12-06,1.147297174117018
2016-12-07,1.1669216042233588
2016-12-08,1.1699506629590477
2016-12-09,1.1715675103667655
2016-12-12,1.1649789727156807
2016-12-13,1.176721245305597
2016-12-14,1.1573673923981325
2016-12-15,1.1623898868867366
2016-12-16,1.158545232840018
2016-12-19,1.1640348182132414
2016-12-20,1.1691011401510596
2016-12-21,1.167096680922405
2016-12-22,1.1603416137360136
2016-12-23,1.1648731126211969
2016-12-27,1.1681986214840976
2016-12-28,1.1633260868107471
2016-12-29,1.1686083448123359
2016-12-30,1.1627653105361526
2017-01-03,1.1739427718386959
2017-01-04,1.1863801704711305
2017-01-05,1.1938360830228605
2017-01-06,1.191431742777559
2017-01-09,1.1912971897419635
2017-01-10,1.194177444530467
2017-01-11,1.200487529748939
2017-01-12,1.1986053036691173
2017-01-13,1.2010079600920183
2017-01-17,1.1986536054747836
2017-01-18,1.1943906828823476
2017-01-19,1.1880531089199846
2017-01-20,1.1930268903881884
2017-01-23,1.1977898850441158
2017-01-24,1.2038416694300789
2017-01-25,1.2122362104478985
2017-01-26,1.210504710475631
2017-01-27,1.2104221214615107
2017-01-30,1.1998321980885422
2017-01-31,1.2031123968572843
2017-02-01,1.2046141110638608
2017-02-02,1.204986642973935
2017-02-03,1.2131953713789336
2017-02-06,1.2111952500431258
2017-02-07,1.2120557882341947
2017-02-08,1.2174577431574944
2017-02-09,1.2215529841356711
2017-02-10,1.2270296281884603
2017-02-13,1.2317946491335836
2017-02-14,1.2323032777639003
2017-02-15,1.2380415288925481
2017-02-16,1.239213253384591
2017-02-17,1.241233767517888
2017-02-21,1.2485706358861772
2017-02-22,1.248575437787212
2017-02-23,1.248875944890938
2017-02-24,1.2494000053352965
2017-02-27,1.2499319485266347
2017-02-28,1.2442361333035357
2017-03-01,1.2558452779143288
2017-03-02,1.2442227416384173
2017-03-03,1.248653228436004
2017-03-06,1.2436471992288796
2017-03-07,1.2379858752960062
2017-03-08,1.2321804815011463
2017-03-09,1.2285470582404618
2017-03-10,1.237367350978163
2017-03-13,1.240009162948885
2017-03-14,1.2352613531648766
2017-03-15,1.2560723815143553
2017-03-16,1.2564769860646126
2017-03-17,1.2587772324305078
2017-03-20,1.2610383959277427
2017-03-21,1.246533539282102
2017-03-22,1.2519000692807971
2017-03-23,1.25192834390206
2017-03-24,1.2546231079383865
2017-03-27,1.2568700738392797
2017-03-28,1.2623563428639464
2017-03-29,1.267163035118823
2017-03-30,1.2657250726784806
2017-03-31,1.2642273968113258
2017-04-03,1.265657078129495
2017-04-04,1.2642738153484914
2017-04-05,1.2591360766758672
2017-04-06,1.2614934068748958
2017-04-07,1.2588331819666678
2017-04-10,1.259925990655115
2017-04-11,1.263743980738323
2017-04-12,1.2616914383189393
2017-04-13,1.2553276853894206
2017-04-17,1.2649699271743198
2017-04-18,1.2644482984286316
2017-04-19,1.260608831267354
2017-04-20,1.2711675614752782
2017-04-21,1.26991794499539
2017-04-24,1.287954331729036
2017-04-25,1.2938684452348426
2017-04-26,1.2944058364234956
2017-04-27,1.2969664228702795
2017-04-28,1.295445018026625
2017-05-01,1.299728492101706
2017-05-02,1.3043258862399256
2017-05-03,1.2998782454233384
2017-05-04,1.29902238278696
2017-05-05,1.3075198301765794
2017-05-08,1.3037573270332727
2017-05-09,1.3063379686643255
2017-05-10,1.3102120526535213
2017-05-11,1.3079920896593753
2017-05-12,1.3128670859794387
2017-05-15,1.3199674480214085
2017-05-16,1.3243135894434297
2017-05-17,1.303429635589457
2017-05-18,1.3058013363703433
2017-05-19,1.3180696549410091
2017-05-22,1.323540869424915
2017-05-23,1.3230372582734302
2017-05-24,1.328041348383489
2017-05-25,1.3338544425034897
2017-05-26,1.3348453691218811
2017-05-30,1.3339418534284926
2017-05-31,1.333305657171682
2017-06-01,1.3439957834773133
2017-06-02,1.3537880625030831
2017-06-05,1.3496238454607086
2017-06-06,1.3497317614229818
2017-06-07,1.3495470597759873
2017-06-08,1.3507246244158482
2017-06-09,1.3442956812208997
2017-06-12,1.341868293243286
2017-06-13,1.3472667421961442
2017-06-14,1.3506206933933402
2017-06-15,1.344633628465366
2017-06-16,1.345917253807136
2017-06-19,1.352720218603685
2017-06-20,1.3483978882402379
2017-06-21,1.350433935799479
2017-06-22,1.3520059201532366
2017-06-23,1.3548910842854243
2017-06-26,1.35710800348637
